loss,values
3.2211735,2.1783872
15.28242,4.5118804
17.742752,-1.3805507
8.283449,1.220774
11.708387,-1.4031653
5.873061,1.3932792
6.796976,-0.41833162
4.403306,0.99782366
3.818881,1.4989257
2.2835438,3.0522583
2.3721666,2.4067903
11.734679,3.926196
7.7809143,0.20365047
3.8387892,1.0596421
4.2679434,1.2862601
6.8761735,3.1779952
6.7892933,0.07680187
5.1185756,0.96919405
3.0155902,1.6122935
3.600532,2.1129646
5.1435056,0.95993304
3.1830041,2.598203
2.3094728,3.2405174
4.503134,1.9591887
10.088359,3.9432607
13.424847,-1.2125568
11.761643,3.1474288
14.582901,-1.2365943
6.2100177,1.7085888
7.2107086,-0.6175386
6.6327105,2.2208893
5.0882287,0.79473406
3.3757062,2.7003796
6.284089,1.5383116
6.618847,0.32090646
6.150931,0.9262196
7.0996876,1.8526831
4.9345565,0.20131338
4.964908,0.65949947
5.0856676,1.1634197
4.7734914,0.8654523
6.1473002,1.0932815
3.6402829,1.6752619
4.1513805,2.3444471
5.2552795,0.6811302
4.2647905,2.8137283
6.1653557,0.18973756
5.903254,1.320267
4.830035,1.614383
7.052614,-0.3440834
6.564724,0.94071364
9.350796,2.380446
7.118189,0.120174214
5.541358,1.6252203
7.355264,-0.3943345
6.2706013,0.8906316
5.7693453,0.36424208
3.9257627,1.2160625
3.9260306,2.270462
2.808728,1.4152976
14.672815,3.4088964
5.2281704,0.1405428
4.954096,1.2189474
4.6926355,2.2338476
6.0529866,0.053892728
5.3498983,0.82095563
5.1995583,1.4204242
5.047005,0.35732672
4.296443,1.1013694
3.6795998,0.90574396
4.462385,0.36075115
4.263889,1.6152172
3.8796241,1.2078615
4.07475,0.40546137
3.9029827,1.7398218
2.931542,1.3416884
2.4172623,0.53828466
2.9329681,0.70875096
4.549171,1.9659173
3.5472748,-0.03186112
4.217421,0.8303488
6.198115,0.7501779
4.7067437,1.2134228
2.9600067,1.3529842
3.4312468,0.51201856
2.7082486,1.5053205
3.2834,0.45936382
4.3024354,1.1622875
9.206907,3.5569394
5.7591157,-0.21108603
6.2158403,1.9315076
9.485487,-0.5351534
6.208684,0.7693289
4.414907,1.228035
7.221195,0.39051273
8.341844,3.5944533
7.6428394,-0.053990036
4.597335,1.276536
4.5398602,0.9968852
6.03139,-0.13075468
4.055211,1.4618505
5.189274,0.7538935
5.207045,1.6638489
6.298948,0.8708167
7.5596404,0.7465814
9.251025,2.515996
7.567022,-0.42072374
5.0888214,0.7572477
4.259137,1.9056332
4.4554553,0.061203063
3.5296721,1.3170631
2.7194812,2.1233468
3.436705,0.6178606
6.079076,0.90145206
6.162665,0.37308097
4.420385,2.551321
10.093551,2.449416
7.823489,-1.5497879
4.0172186,0.97773814
4.40632,1.1679966
4.5490904,3.2892
8.991028,0.0810004
5.4601054,1.9280562
5.487053,1.9857588
7.7491245,-0.14483374
4.210234,2.0961509
4.4670987,1.0909665
2.782714,2.7722154
2.8870866,2.9638045
4.857449,2.7337322
4.4640217,1.6014224
4.3555756,2.8780088
6.630063,0.6884859
2.937255,2.8270912
5.184757,2.1664104
7.9962454,-0.20985793
3.9525867,2.4099298
4.056491,2.5038662
4.869353,1.3339753
3.9646435,1.8606662
5.0832095,2.665227
7.4996395,0.124035455
6.50443,2.4679105
5.164356,0.19835311
3.1039011,1.6818687
3.1761596,3.125361
3.4584458,1.754837
3.1205416,3.2903671
3.8527503,1.6636822
11.492091,2.4125872
6.972229,-0.51948303
6.0637875,1.5826795
8.504463,-0.18100688
6.8827233,0.99492365
5.7741356,0.7632581
5.7046256,1.3619964
4.9333572,0.8503084
5.1965246,0.8399725
4.745351,0.90657485
4.809319,1.2309363
7.0554724,1.8799213
9.024646,-0.5189257
5.6595693,1.0217645
4.415255,1.0560962
3.7537093,1.738312
2.36516,3.1095133
6.100824,1.3663018
7.5393806,-0.67451584
4.900758,0.77625155
5.9619617,0.073554486
4.7697964,0.9065056
6.4808064,0.6889624
5.3647957,0.6801295
5.1477265,1.838326
6.1318727,0.24852303
2.8988295,2.5843093
9.815218,2.2931423
5.2163963,0.30820513
4.30648,0.8402486
3.281648,1.2740481
4.145717,2.2353005
4.419009,2.3018265
3.3931215,2.3357186
6.9378557,3.7558088
5.844208,0.40391684
4.3393583,1.68173
4.796028,1.4654748
4.581149,1.1920593
7.136996,-0.40464047
4.8303494,1.4177368
5.8981395,0.2718528
4.6126575,1.1429179
4.3939157,0.6872833
5.0874267,1.2498522
2.8316927,1.425683
4.322672,0.6998807
4.6389666,0.19788371
4.620774,0.983782
5.175808,0.61989415
2.7249625,2.750348
7.3309126,1.9017782
10.391062,-0.30055803
5.6385517,1.1258013
4.7689786,0.8725356
3.9034266,1.3821005
2.1239276,2.0472243
8.821301,2.3255997
6.0191855,0.21233772
5.3054686,1.0035651
4.1331663,1.7256042
4.455867,1.6611545
4.141195,1.8007877
5.2244625,2.1513906
3.0127084,0.6224286
3.1238163,1.0870676
2.296428,1.4875753
4.8817763,2.3301222
2.9113457,1.0493721
3.1907198,1.598134
3.5032344,1.9079158
4.1418166,2.1169906
4.3776364,2.1066847
4.413736,0.89226854
4.983221,0.75845504
4.846012,1.777883
4.0886917,1.6992581
3.0889356,2.3294184
4.2175736,2.983368
4.6984086,1.4688843
7.182687,1.8427818
4.675131,0.30184063
2.6559014,1.7241805
4.4238605,1.7897065
7.6698055,2.1177049
3.3068087,0.64433247
4.8736315,1.1441181
3.6554453,1.8170667
2.8722327,2.294669
2.5337923,2.2380433
1.8151767,2.8105419
1.8211191,2.365182
1.564117,3.2046185
1.9691142,2.7272573
1.9462681,3.123398
1.7892002,2.7423756
1.7635983,3.077678
1.4956911,2.6633406
1.2610575,3.1032865
1.3706439,2.7195802
2.3202937,3.236794
1.7992313,2.5432591
1.7404375,2.6498654
1.7475195,2.5317597
0.9460622,3.2612112
1.3029487,3.6485329
1.6966395,3.1402445
1.8443418,2.9118972
2.4644742,2.7482262
2.9955583,2.72588
3.893782,2.3410878
3.176273,2.1282036
1.6825455,3.3027413
2.3637545,2.4049551
2.8850124,2.8116226
1.9097812,2.6497133
2.0972764,3.0443702
2.343257,2.398081
2.322997,2.2326002
1.4876959,3.066825
1.0894787,2.954247
0.84349954,3.3863602
0.57509685,3.323643
3.1574264,3.7216759
1.927043,2.5616937
1.4639214,2.6236153
1.2831534,2.972653
1.3589174,2.8160155
2.2794077,2.5676413
3.1623383,2.0432396
4.4440293,2.2317781
5.4888687,1.2342854
2.5954869,3.0241485
1.6747744,2.9320645
2.1220384,3.5495768
1.3927919,2.7926903
1.4882216,3.4046009
1.7253865,2.8903933
1.7310388,2.8336792
1.6129264,2.878574
2.2887661,2.982686
2.1819232,2.4568899
2.204521,2.377684
1.840017,2.5240703
1.377296,2.5912209
1.2383833,2.8385959
1.9768137,2.6584206
1.9131434,2.6629312
2.749871,2.5973852
2.9680314,2.1721623
3.336915,1.9337391
3.8554018,1.2193543
3.024032,2.562785
2.675541,2.138997
1.8929182,2.7604146
1.932523,3.0477152
1.6825591,2.9900746
1.9957354,2.9710143
1.7445813,2.8079345
2.5741246,3.0938106
1.9121876,2.255046
1.8792677,2.2006545
1.7666957,2.4906123
1.2752687,2.851853
4.0494833,2.9769158
3.760487,2.0749402
