loss,values
7.4064393,0.06913979
4.244953,2.475263
3.4667773,2.1058106
2.596616,2.511546
1.7955236,2.6403127
1.0556573,3.7435098
2.1380827,2.8970914
2.5279508,4.235565
4.2060943,1.6707712
2.2937489,4.0276318
2.1914186,2.3996482
3.858645,4.200797
3.313641,2.0724483
1.8593205,3.62326
3.0031006,2.2145462
4.9755797,3.7585258
3.9493737,1.6713666
3.2918487,2.9284086
6.6867366,0.7825414
2.2346659,4.4010096
22.767061,-0.8747941
9.165824,3.7286434
10.031826,-0.44869006
3.9286308,3.6900973
2.4148242,2.34438
0.45447704,4.296582
0.35099185,3.7323189
0.3139027,3.847185
0.271874,3.7787004
0.19706869,3.8967834
0.17959,3.869252
0.1665695,3.9254565
0.0229241,3.8959074
0.020115213,4.112112
0.030802675,3.8434196
0.050126895,4.2104845
0.117479846,3.6684499
0.3881553,4.489636
0.72137994,3.112395
1.0330187,4.725501
0.91774255,2.9554331
0.92374706,4.4910426
0.80942476,3.050561
3.0774262,4.2161345
2.8498068,2.1179554
2.6325672,4.0373855
3.3087094,2.6479363
2.283306,2.5554118
7.1298695,3.9645863
7.4200287,0.57622147
5.023371,4.306082
8.590371,0.9273146
4.699554,3.4962475
2.6269755,2.7371495
2.7130368,3.1875803
2.388493,2.5908568
2.2204583,2.918488
1.6492867,2.8408847
1.790368,3.6666465
2.0819602,2.9085288
1.8163742,2.576772
1.3032348,2.9575236
0.93905383,3.1386561
0.8200593,3.7043457
0.9624023,3.0464923
1.0219282,4.5318103
0.68137777,3.186016
0.27726457,4.0155277
0.19536857,3.6382825
0.14545509,3.7629423
1.3121972,3.826253
1.9709855,3.4616323
1.8999008,3.3591247
1.4086952,3.4227314
1.2046751,3.549711
0.97005194,3.5786548
1.561876,3.3470588
1.8945339,2.4473252
2.8551133,3.7275531
2.7924712,2.183123
1.686392,3.4082656
1.8163643,3.080844
1.9448466,3.5015996
1.8829513,2.9785445
1.7651683,3.583808
1.0184807,3.1300697
0.08253082,3.9092884
0.06952849,3.8949394
0.66757697,3.925642
0.8835841,3.6690502
0.9284403,3.5503502
1.7936286,3.479525
4.5277796,2.7586803
4.8235188,1.112767
3.9113948,3.043669
2.7504025,2.0885768
2.0856338,3.3738647
1.7571954,2.9409795
1.3644248,3.1769338
1.2638915,3.4215999
1.386682,3.3867202
1.0383737,3.1696656
1.0662831,3.3756638
0.96021694,3.1175835
2.7901921,3.206801
2.793091,2.5728028
2.4938257,3.1106138
1.9765728,3.0592227
1.5829812,3.4032888
1.2326635,3.4211862
1.4456189,3.534306
1.2218974,3.3156753
1.0482028,3.734579
1.3637149,3.4661803
0.669129,3.6442738
0.8159963,3.8352747
0.49899352,3.3826954
1.3320146,4.1122293
1.9818584,2.807413
1.644402,2.8819294
2.5930195,3.7319124
1.8174808,2.896815
0.9965358,3.5163457
0.77493167,3.528717
0.33994758,3.7020135
0.1554322,3.9346044
0.872212,3.8409472
0.8432092,3.457937
0.96570176,3.8740323
0.93517685,3.360372
0.7479486,3.5537796
0.5214582,3.6033578
2.140143,3.7886596
3.439224,1.9384754
2.8353326,4.308102
1.6691303,3.0105112
0.76262647,3.9988348
0.48365676,3.594152
0.8827895,3.603265
0.9648469,3.5502641
0.7524236,3.497201
0.9954067,3.7013493
0.85195065,3.1845503
0.9917105,3.6525335
0.72698474,3.4326496
2.4229376,3.8095279
2.0909631,3.2871108
1.9610243,3.6767044
0.7251968,3.4094274
0.6829407,3.893898
0.7873482,3.5690908
1.6404696,3.5844483
1.5854756,3.3615327
